<oov> 1.0	oov
تعریفیں 1.0	T_D A_A R I_I1 F A_Y_N
نشاں 1.0	N I S_H A_A_N
باعث 1.0	B A_A I S
صغری 1.0	S U G_G R A_A
اجتماعی 1.0	I D_Z T_D I M A_A I_I1
مکھن 1.0	M A K K_H A N
نقصان 1.0	N U Q S A_A N
گریجویشن 1.0	G I R A_E1 D_Z U_U A_Y S_H A N
بھنوؤں 1.0	B_H A N V O_O_N
اواخر 1.0	A V A_A X I R
آقاؤں 1.0	A_A Q A_A O_O_N
کالونی 1.0	K A_A L U_U N I_I1
بڑھائے 1.0	B A R_R_H A_A A_Y
سلفیٹ 1.0	S A L F A_E1 T
شفیق 1.0	S_H A F I_I1 Q
رنگیلا 1.0	R A N_G G I_I1 L A_A
اصحاب 1.0	A S H A_A B
فارورڈ 1.0	F A_A R V A R D
نہاں 1.0	N I H A_A_N
سینیٹ 1.0	S A_Y N A_Y T
طالب 1.0	T_D A_A L I B
نچوڑ 1.0	N I T_S1 O_O R_R
تزئین 1.0	T_D A Z I_I1 N
دن 1.0	D_D I N
لنڈ 1.0	L U N D
پچھاڑ 1.0	P A T_S_H A_A R_R
لاینفک 1.0	L A_A J U N F A K
مینوفیکچرز 1.0	M A_E1 N O_O F A_E1 K T_S1 A R Z
امریکی 1.0	A M R I_I1 K I_I1
بچہ 1.0	B A T_S1 T_S1 A_A
زراعت 1.0	Z I R A_A A T_D
روہی 1.0	R O_O H I_I1
صدور 1.0	S U D_D U_U R
اہلکار 1.0	A H A L K A_A R
ناخواندگی 1.0	N A_A X A_A N D_D G I_I1
تاجور 1.0	T_D A_A D_Z V A R
سارز 1.0	S A_A R Z
ہمسفر 1.0	H A M S A F A R
رابطے 1.0	R A_A B I T_D A_Y
ناامیدی 1.0	N A_A U_U M I_I1 D_D I_I1
لوگوں 1.0	L O_O G O_O_N
غلاف 1.0	G_G I L A_A F
کلاسز 1.0	K I L A_A S I Z
ٹھونس 1.0	T_H U_U N S
بنائی 1.0	B A N A_A I_I1
گرج 1.0	G A R A D_Z
مشق 1.0	M A S_H Q
استفادے 1.0	I S T_D A_Y F A_A D_D A_Y
خفیف 1.0	X A F I_I1 F
خیل 1.0	X A_E1 L
ٹھگ 1.0	T_H A G
اخراج 1.0	I X R A_A D_Z
تیسرے 1.0	T_D I_I1 S R A_Y
سوشل 1.0	S O_O S_H A L
جچتا 1.0	D_Z A T_S1 T_D A_A
صدیقین 1.0	S I D_D D_D I_I1 Q A_Y N
ہوش 1.0	H O_O S_H
قدغن 1.0	Q A D_D G_G A N
انوکھے 1.0	A N O_O K_H A_Y
لاہوری 1.0	L A_A H O R I_I1
موردالزام 1.0	M O R I D_D A_Y I L Z A_A M
تحفے 1.0	T_D O_O_H H F A_Y
پیشرفت 1.0	P A_Y S_H R A F T_D
ہارویسٹر 1.0	H A_A R V A_E1 S T A R
جھنگوی 1.0	D_Z_H A N_G V I_I1
وحشت 1.0	V A H S_H A T_D
استحصالی 1.0	I S T_D I H S A_A L I_I1
محتاجوں 1.0	M U H T_D A_A D_Z O_O_N
لومیرج 1.0	L A V M A_E1 R I D_Z
ماڈل 1.0	M A_A D A L
مؤثر 1.0	M U_U A S S I R
سیون 1.0	S A_Y V A N
فضیلت 1.0	F A Z I_I1 L A T_D
قناعت 1.0	Q A N A_A A T_D
ادھورا 1.0	A D_D_H U_U R A_A
ووڈ 1.0	V U_U D
غلط 1.0	G_G A L A T_D
فاریسٹ 1.0	F A_A R A_E1 S T
انہیں 1.0	U N H A_Y_N
پاسداری 1.0	P A_A S D_D A_A R I_I1
قم 1.0	Q U M
تیز 1.0	T_D A_Y Z
میموریل 1.0	M A_E1 M O_O R I J A L
شیریں 1.0	S_H I_I1 R I_I_N
انسانیت 1.0	I N S A_A N I_I1 J A T_D
لاکھوں 1.0	L A_A K_H O_O_N
میتوں 1.0	M A_E1 J I T_D O_O_N
تیزرفتار 1.0	T_D A_Y Z R A F T_D A_A R
درآمدات 1.0	D_D A R A A_A M D_D A_A T_D
انفیکشن 1.0	I N F A_E1 K S_H A N
چوبیس 1.0	T_S1 O_O B I_I1 S
عثمانی 1.0	U S M A_A N I_I1
سنائی 1.0	S U N A_A I_I1
بیل 1.0	B A_Y L
ڈپلومیسی 1.0	D I P L O_O M A_Y S I_I1
صبغت 1.0	S I B G_G A T_D
سمجھائیں 1.0	S A M D_Z_H A_A A_Y_N
فاجر 1.0	F A_A D_Z I R
شیفرڈ 1.0	S_H A_E1 F A R D
باڑھ 1.0	B A_A R_R_H
ہیجڑوں 1.0	H I_I1 D_Z R_R O_O_N
استغراق 1.0	I S T_D I G_G R A_A Q
اسلحہ 1.0	A S L A_Y H A_A
فکروعمل 1.0	F I K R O_O A M A L
نزول 1.0	N U Z U_U L
باجرہ 1.0	B A_A D_Z R A_A
دیکھئے 1.0	D_D A_Y K_H I A_Y
اسہال 1.0	I S H A_A L
رغبت 1.0	R A G_G B A T_D
جوڑیاں 1.0	D_Z O_O R_R I J A_A_N
ویوز 1.0	V A_Y V Z
غصہ 1.0	G_G U S S A_A
نبویہ 1.0	N A B V I J A_A
باورچی 1.0	B A_A V A R T_S1 I_I1
سانحوں 1.0	S A_A N I H O_O_N
اُٹھاؤں 1.0	U T_H A_A U_U_N
ریڑھیاں 1.0	R A_Y R_R_H I J A_A_N
تخریب 1.0	T_D A X R I_I1 B
رفعت 1.0	R I F A T_D
بیورو 1.0	B I_I1 O_O R O_O
عرصہ 1.0	A R S A_A
رویت 1.0	R U_U J A T_D
تاجر 1.0	T_D A_A D_Z I R
سبب 1.0	S A B A B
خوراک 1.0	X U R A_A K
نبوی 1.0	N A B V I_I1
تھی 1.0	T_D_H I_I1
پانچویں 1.0	P A_A N T_S1 V I_I_N
جاؤں 1.0	D_Z A_A U_U_N
پڑنے 1.0	P A R_R N A_Y
قذف 1.0	Q A Z F
پھول 1.0	P_H U_U L
میگھا 1.0	M A_Y G_H A_A
چودہ 1.0	T_S1 O D_D A_A
چَھپ 1.0	T_S_H A P
کھنگالنے 1.0	K_H A N_G G A_A L N A_Y
درخواست 1.0	D_D A R X A_A S T_D
تجہیز 1.0	T_D A D_Z H I_I1 Z
تھک 1.0	T_D_H A K
پروئیں 1.0	P A R O_O A_Y_N
سبزواری 1.0	S A B Z V A_A R I_I1
انیس 1.0	U N N I_I1 S
السی 1.0	A L S I_I1
وڈ 1.0	V U D
احمد 1.0	A H M A D_D
سبز 1.0	S A B Z
غفور 1.0	G_G A F U_U R
لیموں 1.0	L I_I1 M U_U_N
شائیں 1.0	S_H A_A A_Y_N
مذہبی 1.0	M A Z H A B I_I1
بچّی 1.0	B A T_S1 T_S1 I_I1
گلوبل 1.0	G U L O_O B A L
نمایاں 1.0	N U M A_A J A_A_N
بدحالی 1.0	B A D_D H A_A L I_I1
زوال 1.0	Z A V A_A L
رول 1.0	R O_O L
یزدانی 1.0	J A Z D_D A_A N I_I1
سوچ 1.0	S O_O T_S1
اندھے 1.0	A N D_D_H A_Y
پھولدار 1.0	P_H U_U L D_D A_A R
افضل 1.0	A F Z A L
طبیعت 1.0	T_D A B I_I1 J A T_D
مکھڑا 1.0	M U K_H R_R A_A
بسیار 1.0	B I S J A_A R
مقرر 1.0	M U Q A R R A R
پیشے 1.0	P A_Y S_H A_Y
باندھیں 1.0	B A_A N D_D_H A_Y_N
کھیلوں 1.0	K_H A_Y L O_O_N
چکھیں 1.0	T_S1 A K K_H A_Y_N
کیچڑ 1.0	K I_I1 T_S1 A R_R
باران 1.0	B A_A R A_A N
خوشبوئیں 1.0	X U S_H B U_U A_Y_N
حقیقت 1.0	H A Q I_I1 Q A T_D
سکتی 1.0	S A K T_D I_I1
بنیادی 1.0	B U N J A_A D_D I_I1
ایڈوانسڈ 1.0	A_E1 D V A_A N S D
فائدہ 1.0	F A_A I D_D A_A
روزے 1.0	R O_O Z A_Y
اودھم 1.0	U_U D_D_H A M
اخبارنویسوں 1.0	A X B A_A R N A V I_I1 S O_O_N
ندیم 1.0	N A D_D I_I1 M
بیٹھتے 1.0	B A_Y T_H T_D A_Y
لوہار 1.0	L O_O H A_A R
انعقاد 1.0	I N A_Y Q A_A D_D
عملا 1.0	A M L A N
مطہرہ 1.0	M U T_D A H H I R A_A
لفظوں 1.0	L A F Z O_O_N
اسبغول 1.0	I S S A B G_G O_O L
بیگ 1.0	B A_E1 G
راؤ 1.0	R A_A O_O
مخیر 1.0	M U X A_E1 J A R
ٹھل 1.0	T_H A L
کانووکیشن 1.0	K A_A N V U_U K A_Y S_H A N
تاخیر 1.0	T_D A_A X I_I1 R
بجھنے 1.0	B U D_Z_H N A_Y
ٹھکانے 1.0	T_H I K A_A N A_Y
چوڑا 1.0	T_S1 O R_R A_A
گدھا 1.0	G A D_D_H A_A
سونگھنے 1.0	S U_U N G_H N A_Y
پاک 1.0	P A_A K
چوری 1.0	T_S1 O_O R I_I1
ظہیر 1.0	Z A H I_I1 R
لگا 1.0	L A G A_A
ایڈورٹائزنگ 1.0	A_E1 D V A R T A_A I Z I N_G
سربراہ 1.0	S A R B A R A_A
گیگا 1.0	G I_I1 G A_A
سونپی 1.0	S O M P I_I1
امپائر 1.0	A_Y M P A_A A_Y R
ارجمند 1.0	A R D_Z M A N D_D
خوشخبری 1.0	X U S_H X A B A R I_I1
والرس 1.0	V A_A L R A S
ڈومیسٹک 1.0	D O_O M A_E1 S T I K
ارسال 1.0	I R S A_A L
ملازم 1.0	M U L A_A Z I M
باغیانہ 1.0	B A_A G_G J A_A N A_A
کن 1.0	K A N
تعلق 1.0	T_D A A L L U Q
چونکا 1.0	T_S1 O N K A_A
مبنی 1.0	M A B N I_I1
نکھارا 1.0	N I K_H A_A R A_A
قرضوں 1.0	Q A R Z O_O_N
کھول 1.0	K_H O_O L
بلغم 1.0	B A L G_G A M
فقیر 1.0	F A Q I_I1 R
شعری 1.0	S_H A_Y R I_I1
شہرہ 1.0	S_H O_O_H H R A_A
سوئی 1.0	S O_O I_I1
وغیرہ 1.0	V A G_G A_E1 R A_A
ہونے 1.0	H O_O N A_Y
دو 1.0	D_D O_O
ثمر 1.0	S A M A R
دلشاد 1.0	D_D I L S_H A_A D_D
اغراض 1.0	A G_G R A_A Z
تھا 1.0	T_D_H A_A
ایکسیئن 1.0	A_E1 K S I_I1 A N
گڈ 1.0	G U D
بزنس 1.0	B I Z N A S
سِکھوں 1.0	S I K K_H O_O_N
اخوّت 1.0	U X U_U V A T_D
ڈاہا 1.0	D A_A H A_A
ملیہ 1.0	M I L J I J A_A
معیاری 1.0	M I J A_A R I_I1
ڈونگا 1.0	D O_O N_G G A_A
باادب 1.0	B A_A A D_D A B
کردار 1.0	K I R D_D A_A R
بھگوئیں 1.0	B_H I G O_O A_Y_N
کرائی 1.0	K A R A_A I_I1
جب 1.0	D_Z A B
دستاویزی 1.0	D_D A S T_D A_A V I_I1 Z I_I1
نگرانی 1.0	N I G R A_A N I_I1
ڈگر 1.0	D A G A R
دلجوئی 1.0	D_D I L D_Z U_U I_I1
چھہتر 1.0	T_S_H A_Y H A T_D T_D A R
ہوزری 1.0	H O Z A R I_I1
اریگیشن 1.0	A R I_I1 G A_Y S_H A N
صفحوں 1.0	S A F H O_O_N
وقوع 1.0	V U Q U_U
سیروسیاحت 1.0	S A_E1 R O_O S I J A_A H A T_D
چالیس 1.0	T_S1 A_A L I_I1 S
سینکڑوں 1.0	S A_E_N K R_R O_O_N
شواہد 1.0	S_H A V A_A H I D_D
بخاری 1.0	B U X A_A R I_I1
اسمبلی 1.0	A S A M B L I_I1
دھرا 1.0	D_D_H U R A_A
لاریب 1.0	L A_A R A_E1 B
بوڑھے 1.0	B U_U R_R_H A_Y
ودیعت 1.0	V A D_D I_I1 A T_D
اثرورسوخ 1.0	A S A R O_O R U S U_U X
بزدل 1.0	B U Z D_D I L
شناخت 1.0	S_H A N A_A X T_D
صحت 1.0	S A_Y H H A T_D
فنڈز 1.0	F A N D Z
کڑوا 1.0	K A R_R V A_A
اُمید 1.0	U M I_I1 D_D
جہتیں 1.0	D_Z A_Y H T_D A_Y_N
معمر 1.0	M U A M M A R
ڈومین 1.0	D U_U M A_Y N
امن 1.0	A M A N
مان 1.0	M A_A N
لیبر 1.0	L A_Y B A R
چئرمین 1.0	T_S1 I A R M A_E1 N
دے 1.0	D_D A_Y
تعاقب 1.0	T_D A A_A Q U B
واضح 1.0	V A_A Z A_Y
تصور 1.0	T_D A S O V U R
نیوکلیئس 1.0	N I J U_U K I L I_I1 A S
روئی 1.0	R O_O I_I1
لارا 1.0	L A_A R A_A
ملے 1.0	M I L A_Y
شوربہ 1.0	S_H O_O R B A_A
دیوبند 1.0	D_D I J O_O B A N D_D
بدظن 1.0	B A D_D Z A N
کیڑے 1.0	K I_I1 R_R A_Y
جہل 1.0	D_Z A H L
لاابالی 1.0	L A_A U B A_A L I_I1
گرنے 1.0	G I R N A_Y
قیلولہ 1.0	Q A_E1 L U_U L A_A
سیڑھیوں 1.0	S I_I1 R_R_H I_I1 O_O_N
بازیاب 1.0	B A_A Z J A_A B
پراسسنگ 1.0	P A R A_A S A S I N_G
ڈھانچے 1.0	D_H A_A N T_S1 A_Y
جھیلیں 1.0	D_Z_H A_Y L A_Y_N
بھولا 1.0	B_H O_O L A_A
جھگڑوں 1.0	D_Z_H A G R_R O_O_N
ڈیسک 1.0	D A_E1 S K
سخن 1.0	S U X A N
کو 1.0	K O_O
تھوڑا 1.0	T_D_H O_O R_R A_A
تقریباً 1.0	T_D A Q R I_I1 B A N
اجر 1.0	A D_Z R
ہتھیار 1.0	H A T_D_H J A_A R
مگرمچھ 1.0	M A G A R M A T_S_H
زنجیر 1.0	Z A N D_Z I_I1 R
ہاشوانی 1.0	H A_A S_H V A_A N I_I1
زوردار 1.0	Z O_O R D_D A_A R
میخائل 1.0	M I_I1 X A_A I L
شعور 1.0	S_H A U_U R
ٹھڈے 1.0	T_H U D D A_Y
سٹوڈنٹ 1.0	S T U_U D A N T
چاہیے 1.0	T_S1 A_A H I J A_Y
مبذول 1.0	M A B Z U_U L
بڑھئی 1.0	B A R_R_H A I_I1
میچوں 1.0	M A_E1 T_S1 O_O_N
اژدھا 1.0	A Z_Z D_D_H A_A
اننگز 1.0	I N I N_G Z
متعدد 1.0	M U T_D A A D_D D_D I D_D
قدرے 1.0	Q A D_D R A_Y
وزیر 1.0	V A Z I_I1 R
داؤد 1.0	D_D A_A U_U D_D
انضمام 1.0	I N Z I M A_A M
کوتاہی 1.0	K O_O T_D A_A H I_I1
مسجد 1.0	M A S D_Z I D_D
بلاسوچے 1.0	B I L A_A S O_O T_S1 A_Y
نقش 1.0	N A Q S_H
یورپی 1.0	J O_O R P I_I1
بلونگڑے 1.0	B A L U_U N_G R_R A_Y
رکھتے 1.0	R A K_H T_D A_Y
مرغزار 1.0	M A R G_G Z A_A R
بنگالی 1.0	B A N_G G A_A L I_I1
فرینڈلی 1.0	F A R A_E1 N D L I_I1
مجموعی 1.0	M A D_Z M U_U Y I_I1
مرتبہ 1.0	M A R T_D A B A_A
رقوم 1.0	R U Q U_U M
مسوڑوں 1.0	M A S U_U R_R O_O_N
تیاگ 1.0	T_D I J A_A G
مندری 1.0	M U N D_D R I_I1
حالانکہ 1.0	H A_A L A_A_N K A_Y
نااہلیت 1.0	N A_A A_E_H H L I J A T_D
موومنٹ 1.0	M U_U V M I N T
راولا 1.0	R A_A V L A_A
کھائیں 1.0	K_H A_A A_Y_N
نام 1.0	N A_A M
مرکزی 1.0	M A R K A Z I_I1
پاسبان 1.0	P A_A S B A_A N
سجھائی 1.0	S U D_Z_H A_A I_I1
کوسوں 1.0	K O_O S O_O_N
سنئے 1.0	S U N J A_Y
سنور 1.0	S A_A_N V A R
وقوعہ 1.0	V U Q U_U A_A
بہن 1.0	B A H A N
دینا 1.0	D_D A_Y N A_A
پیتھالوجی 1.0	P A_E1 T_D_H A_A L O_O D_Z I_I1
ہیچ 1.0	H A_Y T_S1
تیرگی 1.0	T_D I_I1 R G I_I1
مقابلے 1.0	M U Q A_A B L A_Y
مشاورت 1.0	M U S_H A_A V A R A T_D
ہوتی 1.0	H O_O T_D I_I1
کوڑیاں 1.0	K O R_R I J A_A_N
ایام 1.0	A J J A_A M
معالجے 1.0	M U A_A L A D_Z A_Y
جہانگیر 1.0	D_Z A H A_A N_G G I_I1 R
ہاشمی 1.0	H A_A S_H M I_I1
دھوبی 1.0	D_D_H O_O B I_I1
محققین 1.0	M U H A Q Q A Q I_I1 N
بنگلے 1.0	B A N_G L A_Y
مچولی 1.0	M I T_S1 O L I_I1
حفاظ 1.0	H U F F A_A Z
جنگلوں 1.0	D_Z A N_G L O_O_N
اقوام 1.0	A Q V A_A M
وگ 1.0	V I G
کہکشاں 1.0	K A H K A S_H A_A_N
دعاگو 1.0	D_D U A_A G O_O
سفوف 1.0	S U F U_U F
پروڈکٹیو 1.0	P A R O_O D A K T I V
پچاسویں 1.0	P A T_S1 A_A S V A_Y_N
حیراں 1.0	H A_E1 R A_A_N
ہیلتھ 1.0	H A_Y L T_D_H
رعائتیں 1.0	R I A_A A_Y T_D A_Y_N
ماؤزے 1.0	M A_A O_O Z A_Y
چیسٹ 1.0	T_S1 A_E1 S T
چاچو 1.0	T_S1 A_A T_S1 U_U
کمینگی 1.0	K A M I_I1 N_G G I_I1
سکول 1.0	S A K U_U L
چوتھا 1.0	T_S1 O T_D_H A_A
خشونت 1.0	X U S_H U_U N A T_D
بھیانک 1.0	B_H A J A_A N A K
چبھ 1.0	T_S1 U B_H
خاوند 1.0	X A_A V A N D_D
رقم 1.0	R A Q A M
شہری 1.0	S_H A_E_H H R I_I1
چوڑیاں 1.0	T_S1 U_U R_R J A_A_N
منظوم 1.0	M A N Z U_U M
کمرے 1.0	K A M R A_Y
اسرائیلی 1.0	I S R A_A I_I1 L I_I1
لکھ 1.0	L I K_H
سروس 1.0	S A R V I S
شستہ 1.0	S_H U S T_D A_A
دوعالم 1.0	D_D O_O A_A L A M
اوجھڑی 1.0	O_O D_Z_H R_R I_I1
حملوں 1.0	H A M L O_O_N
ایسا 1.0	A_E1 S A_A
کتابیں 1.0	K I T_D A_A B A_Y_N
چیڑھ 1.0	T_S1 I_I1 R_R_H
لوشن 1.0	L O_O S_H A N
ڈیش 1.0	D A_E1 S_H
قبل 1.0	Q A B L
رنز 1.0	R A N Z
رقاصاؤں 1.0	R A Q Q A_A S A_A O_O_N
وزن 1.0	V A Z N
انشورنس 1.0	I N S_H O_O R I N S
شاہنواز 1.0	S_H A_A H N A V A_A Z
سالہاسال 1.0	S A_A L H A_A S A_A L
اچھلی 1.0	U T_S_H L I_I1
جوے 1.0	D_Z U_U A_Y
الجھ 1.0	U L A D_Z_H
نشاندہی 1.0	N I S_H A_A N D_D A_Y H I_I1
کرا 1.0	K A R A_A
تجزیوں 1.0	T_D A D_Z Z I_I1 O_O_N
فنون 1.0	F U N U_U N
متوفیہ 1.0	M U T_D A V A F J I J A_A
وائرس 1.0	V A_A I R A S
وبائی 1.0	V A B A_A I_I1
کچوری 1.0	K A T_S1 U_U R I_I1
نوازنے 1.0	N A V A_A Z N A_Y
سیفٹی 1.0	S A_Y F T I_I1
بہنوئی 1.0	B A_E_H H N O_O I_I1
ایتھلیٹ 1.0	A_E1 T_D_H L I_I1 T
بھاؤ 1.0	B_H A_A O_O
فوم 1.0	F O_O M
فلڈ 1.0	F A L U D
عبدالحئی 1.0	A B D_D U L H A I_I1
حیف 1.0	H A_E1 F
ناقابل 1.0	N A_A Q A_A B I L
ننگے 1.0	N A N_G G A_Y
ہنسنے 1.0	H A N S N A_Y
کئی 1.0	K A I_I1
اجزا 1.0	A D_Z Z A_A
غدار 1.0	G_G A D_D D_D A_A R
ہاتھوں 1.0	H A_A T_D_H O_O_N
اڑایا 1.0	A R_R A_A J A_A
چیمپئینز 1.0	T_S1 A_E1 M P I A N Z
فرینڈ 1.0	F A R A_E1 N D
پروسیسر 1.0	P U R O_O S A_E1 S A R
ذریعہ 1.0	Z A R I_I1 A_A
فاروق 1.0	F A_A R U_U Q
اپنا 1.0	A P N A_A
چلائی 1.0	T_S1 A L A_A I_I1
صدیاں 1.0	S A D_D J A_A_N
مصنوعات 1.0	M A S N U_U A_A T_D
چڑھاؤ 1.0	T_S1 A R_R_H A_A O_O
خُو 1.0	X U_U
گھنٹے 1.0	G_H A N T A_Y
گھر 1.0	G_H A R
منہ 1.0	M U N H
مرچ 1.0	M I R T_S1
چاہوں 1.0	T_S1 A_A H U_U_N
کوچ 1.0	K O_O T_S1
کیڑوں 1.0	K I_I1 R_R O_O_N
سمجھائے 1.0	S A M D_Z_H A_A A_Y
ناں 1.0	N A_A_N
تعینات 1.0	T_D A_A A_Y N A_A T_D
شیوخ 1.0	S_H A_E1 J J U_U X
لیجنڈ 1.0	L A_E1 D_Z A N D
بلوچ 1.0	B A L O_O T_S1
گریڈ 1.0	G I R A_Y D
کچھوؤں 1.0	K A T_S_H T_S_H U_U O_O_N
شوخی 1.0	S_H O_O X I_I1
ڈاؤن 1.0	D A_A U_U N
کیولری 1.0	K A_E1 O_O L A R I_I1
پنہاں 1.0	P I N H A_A_N
مہیب 1.0	M U H I_I1 B
فالوآن 1.0	F A_A L O_O A_A N
کلومیٹر 1.0	K I L O_O M I_I1 T A R
انٹرمیڈیٹ 1.0	I N T A R M I_I1 D J A T
لگاتا 1.0	L A G A_A T_D A_A
لگایئے 1.0	L A G A_A J I A_Y
فشر 1.0	F I S_H A R
جذبات 1.0	D_Z A Z B A_A T_D
المیوں 1.0	A L M I J J O_O_N
ریشمی 1.0	R A_Y S_H M I_I1
ندوی 1.0	N A D_D V I_I1
خواتین 1.0	X A V A_A T_D I_I1 N
محسوس 1.0	M A H S U_U S
روزمرہ 1.0	R O_O Z M A R R A_A
جعلی 1.0	D_Z A_A L I_I1
انوسٹمنٹ 1.0	I N V A S T M A N T
ہیبت 1.0	H A_E1 B A T_D
حادثے 1.0	H A_A D_D I S A_Y
آکر 1.0	A_A K A R
فلک 1.0	F A L A K
مدمقابل 1.0	M A D_D D_D A_Y M U Q A_A B I L
جہاں 1.0	D_Z A H A_A_N
زلفیں 1.0	Z U L F A_Y_N
سوکھنے 1.0	S U_U K_H N A_Y
فلسطینی 1.0	F A L A S T_D I_I1 N I_I1
مقام 1.0	M A Q A_A M
پوچھیے 1.0	P U_U T_S_H I_I1 A_Y
رشدی 1.0	R U S_H D_D I_I1
سیسموگراف 1.0	S A_E1 S M O_O G I R A_A F
نیلگوں 1.0	N I_I1 L G U_U_N
پبلشنگ 1.0	P A B L I S_H I N_G
دینے 1.0	D_D A_Y N A_Y
کانگریس 1.0	K A_A N_G R A_Y S
واقعتاً 1.0	V A Q A_Y A_A T_D A N
رکھیے 1.0	R A K_H J A_Y
ڈور 1.0	D O_O R
سائیکل 1.0	S A_A I_I1 K A L
دس 1.0	D_D A S
ایقان 1.0	I_I1 Q A_A N
ہمجولیوں 1.0	H A M D_Z O_O L I_I1 O_O_N
پھیپھڑوں 1.0	P_H A_Y P_H R_R O_O_N
اشاعت 1.0	I S_H A_A A T_D
دیر 1.0	D_D A_Y R
تھیوا 1.0	T_D_H A_Y V A_A
جالندھری 1.0	D_Z A_A L A N D_D_H R I_I1
پورے 1.0	P U_U R A_Y
چقندر 1.0	T_S1 U Q A N D_D A R
دھڑام 1.0	D_D_H A R_R A_A M
ظاہر 1.0	Z A_A H I R
سیمینار 1.0	S A_E1 M I_I1 N A_A R
بغاوت 1.0	B A G_G A_A V A T_D
گونگے 1.0	G U_U N_G G A_Y
جوہی 1.0	D_Z U_U H I_I1
ابھریں 1.0	U B_H R A_Y_N
گھمن 1.0	G_H U M M A N
اولین 1.0	A V V A L I_I1 N
لاحق 1.0	L A_A H I Q
ٹھونسنے 1.0	T_H O_O N S N A_Y
گومگو 1.0	G O_O M A G O_O
پراچہ 1.0	P A R A_A T_S1 A_A
ونگ 1.0	V I N_G
مہمل 1.0	M U H M A L
ٹوئنٹی 1.0	T U_U A N T I_I1
وعدے 1.0	V A_A D_D A_Y
ردیف 1.0	R A D_D I_I1 F
ریان 1.0	R A_E1 J A_A N
سالمیت 1.0	S A_A L I M I_I1 J A T_D
جلسوں 1.0	D_Z A L S O_O_N
ہوتے 1.0	H O_O T_D A_Y
سامان 1.0	S A_A M A_A N
بھجن 1.0	B_H A D_Z A N
مجروح 1.0	M A D_Z R U_U
دھینگا 1.0	D_D_H I_I1 N_G G A_A
مسخرے 1.0	M A S X A R A_Y
حج 1.0	H A D_Z
آندھیاں 1.0	A_A N D_D_H I J A_A_N
کسوں 1.0	K A S U_U_N
محفوظ 1.0	M A H F U_U Z
کیچ 1.0	K I_I1 T_S1
چھوڑنے 1.0	T_S_H O_O R_R N A_Y
شیلڈ 1.0	S_H I_I1 L D
تعارف 1.0	T_D A A_A R U F
قوت 1.0	Q U_U V A T_D
بجلی 1.0	B I D_Z L I_I1
ملغوبہ 1.0	M A L G_G U_U B A_A
جھاڑو 1.0	D_Z_H A_A R_R O_O
پندرہ 1.0	P A N D_D R A_A
فیسیں 1.0	F I_I1 S A_Y_N
کریں 1.0	K A R A_Y_N
ایونیو 1.0	A_E1 V A N J U_U
اہلسنت 1.0	A H L I S U N N A T_D
زندگی 1.0	Z I N D_D A G I_I1
بگڑ 1.0	B I G A R_R
مجبور 1.0	M A D_Z B U_U R
مگر 1.0	M A G A R
دعائیں 1.0	D_D U A_A A_Y_N
وہی 1.0	V O_O_H H I_I1
جلووں 1.0	D_Z A L V O_O_N
جھانکنے 1.0	D_Z_H A_A_N K N A_Y
ایوارڈ 1.0	A_Y V A_A R D
بُدھو 1.0	B U D_D D_D_H U_U
بیڑا 1.0	B A_Y R_R A_A
بخشیں 1.0	B A X S_H A_Y_N
مبہم 1.0	M U B H A M
آوازیں 1.0	A_A V A_A Z A_Y_N
کافی 1.0	K A_A F I_I1
غفلت 1.0	G_G A F L A T_D
مینوفیکچررز 1.0	M A_E1 N U_U F A_E1 K T_S1 A R A R Z
ڈالیں 1.0	D A_A L A_Y_N
سڑک 1.0	S A R_R A K
داغدار 1.0	D_D A_A G_G D_D A_A R
جانبدار 1.0	D_Z A_A N I B D_D A_A R
انشااللہ 1.0	I N S_H A_A A L L A_A
پاؤڈر 1.0	P A U_U D A R
کڑاہی 1.0	K A R_R A_A H I_I1
نوشاد 1.0	N O S_H A_A D_D
تیزگام 1.0	T_D A_Y Z G A_A M
خاں 1.0	X A_A_N
نہایت 1.0	N I H A_A J A T_D
اشتعال 1.0	I S_H T_D I A_A L
ٹیلی 1.0	T A_Y L I_I1
تاجروں 1.0	T_D A_A D_Z I R O_O_N
دیکھنے 1.0	D_D A_Y K_H N A_Y
قاسم 1.0	Q A_A S I M
تحقیق 1.0	T_D A H Q I_I1 Q
آلود 1.0	A_A L U_U D_D
پرتھوی 1.0	P I R T_D_H I V I_I1
سویرا 1.0	S O A_Y R A_A
شہید 1.0	S_H A H I_I1 D_D
باقر 1.0	B A_A Q I R
زباں 1.0	Z U B A_A_N
رینگتی 1.0	R I_I1 N_G T_D I_I1
کوڈ 1.0	K O_O D
وین 1.0	V A_E1 N
گرویدہ 1.0	G I R V I_I1 D_D A_A
مینوئل 1.0	M A_E1 N U_U I L
آباواجداد 1.0	A_A B A_A O_O A D_Z D_D A_A D_D
وثوق 1.0	V U S U_U Q
پنجرے 1.0	P I N D_Z R A_Y
مشینری 1.0	M A S_H I_I1 N R I_I1
بےمعنی 1.0	B A_Y M A Y N I_I1
مغفرت 1.0	M A G_G F I R A T_D
گرداں 1.0	G A R D_D A_A_N
مطالبے 1.0	M U T_D A_A L B A_Y
زاویوں 1.0	Z A_A V I_I1 O_O_N
نگہداشت 1.0	N I G H D_D A_A S_H T_D
روغنیات 1.0	R O G_G A N J A_A T_D
